,ŠIFRA,NAZIV
254,2349,Proizvodnja ostalih keramičkih proizvoda
255,235,"Proizvodnja cementa, kreča i gipsa"
256,2351,Proizvodnja cementa
257,2352,Proizvodnja kreča i gipsa
258,236,"Proizvodnja proizvoda od betona, cementa i gipsa"
259,2361,Proizvodnja proizvoda od betona namenjenih za građevinarstvo
260,2362,Proizvodnja proizvoda od gipsa namenjenih za građevinarstvo
261,2363,Proizvodnja svežeg betona
262,2364,Proizvodnja maltera
263,2365,Proizvodnja proizvoda od cementa s vlaknima
264,2369,"Proizvodnja ostalih proizvoda od betona, gipsa i cementa"
265,237,"Sečenje, oblikovanje i obrada kamena"
266,2370,"Sečenje, oblikovanje i obrada kamena"
267,239,Proizvodnja brusnih i ostalih nemetalnih mineralnih proizvoda
268,2391,Proizvodnja brusnih proizvoda
269,2399,Proizvodnja ostalih proizvoda od nemetalnih minerala
270,24,Proizvodnja osnovnih metala
271,241,"Proizvodnja sirovog gvožđa, čelika i ferolegura"
272,2410,"Proizvodnja sirovog gvožđa, čelika i ferolegura"
273,242,"Proizvodnja čeličnih cevi, šupljih profila i fitinga"
274,2420,"Proizvodnja čeličnih cevi, šupljih profila i fitinga"
275,243,Proizvodnja ostalih proizvoda primarne prerade čelika
276,2431,Hladno valjanje šipki
277,2432,Hladno valjanje pljosnatih proizvoda
278,2433,Hladno oblikovanje profila
279,2434,Hladno vučenje žice
280,244,Proizvodnja plemenitih i ostalih obojenih metala
281,2441,Proizvodnja plemenitih metala
282,2442,Proizvodnja aluminijuma
283,2443,"Proizvodnja olova, cinka i kalaja"
284,2444,Proizvodnja bakra
285,2445,Proizvodnja ostalih obojenih metala
286,2446,Proizvodnja nuklearnog goriva
287,245,Livenje metala
288,2451,Livenje gvožđa
289,2452,Livenje čelika
290,2453,Livenje lakih metala
291,2454,Livenje ostalih obojenih metala
292,25,"Proizvodnja metalnih proizvoda, osim mašina i uređaja"
293,251,Proizvodnja metalnih konstrukcija
294,2511,Proizvodnja metalnih konstrukcija i delova konstrukcija
295,2512,Proizvodnja metalnih vrata i prozora
296,252,"Proizvodnja metalnih cisterni, rezervoara i kontejnera"
297,2521,Proizvodnja kotlova i radijatora za centralno grejanje
298,2529,"Proizvodnja ostalih metalnih cisterni, rezervoara i kontejnera"
299,253,"Proizvodnja parnih kotlova, osim kotlova za centralno grejanje"
300,2530,"Proizvodnja parnih kotlova, osim kotlova za centralno grejanje"
301,254,Proizvodnja oružja i municije
302,2540,Proizvodnja oružja i municije
303,255,"Kovanje, presovanje, štancovanje i valjanje metala; metalurgija praha"
304,2550,"Kovanje, presovanje, štancovanje i valjanje metala; metalurgija praha"
305,256,Obrada i prevlačenje metala; mašinska obrada metala
306,2561,Obrada i prevlačenje metala
307,2562,Mašinska obrada metala
308,257,"Proizvodnja sečiva, alata i metalne robe opšte namene"
309,2571,Proizvodnja sečiva
310,2572,Proizvodnja brava i okova
311,2573,Proizvodnja alata
312,259,Proizvodnja ostalih metalnih proizvoda
313,2591,Proizvodnja čeličnih buradi i slične ambalaže
314,2592,Proizvodnja ambalaže od lakih metala
315,2593,"Proizvodnja žičanih proizvoda, lanaca i opruga"
316,2594,Proizvodnja veznih elemenata i vijčanih mašinskih proizvoda
317,2599,Proizvodnja ostalih metalnih proizvoda
318,26,"Proizvodnja računara, elektronskih i optičkih proizvoda"
319,261,Proizvodnja elektronskih elemenata i ploča
320,2611,Proizvodnja elektronskih elemenata
321,2612,Proizvodnja štampanih elektronskih ploča
322,262,Proizvodnja računara i periferne opreme
323,2620,Proizvodnja računara i periferne opreme
324,263,Proizvodnja komunikacione opreme
325,2630,Proizvodnja komunikacione opreme
326,264,Proizvodnja elektronskih uređaja za široku potrošnju
327,2640,Proizvodnja elektronskih uređaja za široku potrošnju
328,265,"Proizvodnja mernih, istraživačkih i navigacionih instrumenata i aparata; proizvodnja satova"
329,2651,"Proizvodnja mernih, istraživačkih i navigacionih instrumenata i aparata"
330,2652,Proizvodnja satova
331,266,"Proizvodnja opreme za zračenje, elektromedicinske i elektroterapeutske opreme"
332,2660,"Proizvodnja opreme za zračenje, elektromedicinske i elektroterapeutske opreme"
333,267,Proizvodnja optičkih instrumenata i fotografske opreme
334,2670,Proizvodnja optičkih instrumenata i fotografske opreme
335,268,Proizvodnja magnetnih i optičkih nosilaca zapisa
336,2680,Proizvodnja magnetnih i optičkih nosilaca zapisa
337,27,Proizvodnja električne opreme
338,271,"Proizvodnja elektromotora, generatora, transformatora i opreme za distribuciju električne energije"
339,2711,"Proizvodnja elektromotora, generatora i transformatora"
340,2712,Proizvodnja opreme za distribuciju električne energije i opreme za upravljanje električnom energijom
341,272,Proizvodnja baterija i akumulatora
342,2720,Proizvodnja baterija i akumulatora
343,273,Proizvodnja žičane i kablovske opreme
344,2731,Proizvodnja kablova od optičkih vlakana
345,2732,Proizvodnja ostalih elektronskih i električnih provodnika i kablova
346,2733,Proizvodnja opreme za povezivanje žica i kablova
347,274,Proizvodnja opreme za osvetljenje
348,2740,Proizvodnja opreme za osvetljenje
349,275,Proizvodnja aparata za domaćinstvo
350,2751,Proizvodnja električnih aparata za domaćinstvo
351,2752,Proizvodnja neelektričnih aparata za domaćinstvo
352,279,Proizvodnja ostale električne opreme
353,2790,Proizvodnja ostale električne opreme
354,28,Proizvodnja nepomenutih mašina i nepomenute opreme
355,281,Proizvodnja mašina opšte namene
356,2811,"Proizvodnja motora i turbina, osim za letelice i motorna vozila"
357,2812,Proizvodnja hidrauličnih pogonskih uređaja
358,2813,Proizvodnja ostalih pumpi i kompresora
359,2814,Proizvodnja ostalih slavina i ventila
360,2815,"Proizvodnja ležajeva, zupčanika i zupčastih pogonskih elemenata"
361,282,Proizvodnja ostalih mašina opšte namene
362,2821,Proizvodnja industrijskih peći i gorionika
363,2822,Proizvodnja opreme za podizanje i prenošenje
364,2823,"Proizvodnja kancelarijskih mašina i opreme, osim računara i računarske opreme"
365,2824,Proizvodnja ručnih pogonskih aparata sa mehanizmima
366,2825,"Proizvodnja rashladne i ventilacione opreme, osim za domaćinstvo"
367,2829,Proizvodnja ostalih mašina i aparata opšte namene
368,283,Proizvodnja mašina za poljoprivredu i šumarstvo
369,2830,Proizvodnja mašina za poljoprivredu i šumarstvo
370,284,Proizvodnja mašina za obradu metala i alatnih mašina
371,2841,Proizvodnja mašina za obradu metala
372,2849,Proizvodnja ostalih alatnih mašina
373,289,Proizvodnja ostalih mašina za specijalne namene
374,2891,Proizvodnja mašina za metalurgiju
375,2892,"Proizvodnja mašina za rudnike, kamenolome i građevinarstvo"
376,2893,"Proizvodnja mašina za industriju hrane, pića i duvana"
377,2894,"Proizvodnja mašina za industriju tekstila, odeće i kože"
378,2895,Proizvodnja mašina za industriju papira i kartona
379,2896,Proizvodnja mašina za izradu plastike i gume
380,2899,Proizvodnja mašina za ostale specijalne namene
381,29,"Proizvodnja motornih vozila, prikolica i poluprikolica"
382,291,Proizvodnja motornih vozila
383,2910,Proizvodnja motornih vozila
384,292,"Proizvodnja karoserija za motorna vozila, prikolice i poluprikolice"
385,2920,"Proizvodnja karoserija za motorna vozila, prikolice i poluprikolice"
386,293,Proizvodnja delova i pribora za motorna vozila i motore za njih
387,2931,Proizvodnja električne i elektronske opreme za motorna vozila
388,2932,Proizvodnja ostalih delova i dodatne opreme za motorna vozila
389,30,Proizvodnja ostalih saobraćajnih sredstava
390,301,Izgradnja brodova i čamaca
391,3011,Izgradnja brodova i plovnih objekata
392,3012,Izrada čamaca za sport i razonodu
393,302,Proizvodnja lokomotiva i šinskih vozila
394,3020,Proizvodnja lokomotiva i šinskih vozila
395,303,Proizvodnja vazdušnih i svemirskih letelica i odgovarajuće opreme
396,3030,Proizvodnja vazdušnih i svemirskih letelica i odgovarajuće opreme
397,304,Proizvodnja borbenih vojnih vozila
398,3040,Proizvodnja borbenih vojnih vozila
399,309,Proizvodnja ostalih transportnih sredstava
400,3091,Proizvodnja motocikala
401,3092,Proizvodnja bicikala i invalidskih kolica
402,3099,Proizvodnja ostale transportne opreme
403,31,Proizvodnja nameštaja
404,310,Proizvodnja nameštaja
405,3101,Proizvodnja nameštaja za poslovne i prodajne prostore
406,3102,Proizvodnja kuhinjskog nameštaja
407,3103,Proizvodnja madraca
408,3109,Proizvodnja ostalog nameštaja
409,32,Ostale prerađivačke delatnosti
410,321,"Proizvodnja nakita, bižuterije i sličnih predmeta"
411,3211,Kovanje novca
412,3212,Proizvodnja nakita i srodnih predmeta
413,3213,Proizvodnja imitacije nakita i srodnih proizvoda
414,322,Proizvodnja muzičkih instrumenata
415,3220,Proizvodnja muzičkih instrumenata
416,323,Proizvodnja sportske opreme
417,3230,Proizvodnja sportske opreme
418,324,Proizvodnja igara i igračaka
419,3240,Proizvodnja igara i igračaka
420,325,Proizvodnja medicinskih i stomatoloških instrumenata i materijala
421,3250,Proizvodnja medicinskih i stomatoloških instrumenata i materijala
422,329,Ostale prerađivačke delatnosti
423,3291,Proizvodnja metli i četki
424,3299,Proizvodnja ostalih predmeta
425,33,Popravka i montaža mašina i opreme
426,331,"Popravka metalnih proizvoda, mašina i opreme"
427,3311,Popravka metalnih proizvoda
428,3312,Popravka mašina
429,3313,Popravka elektronske i optičke opreme
430,3314,Popravka električne opreme
431,3315,Popravka i održavanje brodova i čamaca
432,3316,Popravka i održavanje letelica i svemirskih letelica
433,3317,Popravka i održavanje druge transportne opreme
434,3319,Popravka ostale opreme
435,332,Montaža industrijskih mašina i opreme
436,3320,Montaža industrijskih mašina i opreme
438,35,"Snabdevanje električnom energijom, gasom, parom i klimatizacija"
439,351,"Proizvodnja, prenos i distribucija električne energije"
440,3511,Proizvodnja električne energije
441,3512,Prenos električne energije
442,3513,Distribucija električne energije
443,3514,Trgovina električnom energijom
444,352,Proizvodnja gasa i distribucija gasovitih goriva gasovodima
445,3521,Proizvodnja gasa
446,3522,Distribucija gasovitih goriva gasovodom
447,3523,Trgovina gasovitim gorivima preko gasovodne mreže
448,353,Snabdevanje parom i klimatizacija
449,3530,Snabdevanje parom i klimatizacija
451,36,"Skupljanje, prečišćavanje i distribucija vode"
452,360,"Skupljanje, prečišćavanje i distribucija vode"
453,3600,"Skupljanje, prečišćavanje i distribucija vode"
454,37,Uklanjanje otpadnih voda
455,370,Uklanjanje otpadnih voda
456,3700,Uklanjanje otpadnih voda
